challenge-2814438	escalate	identity-account-recovery: fax sent, account still locked — needs human verification
challenge-2694949	escalate	membership-trial account state confusion — needs account lookup
challenge-519702	escalate	demands gift codes; wants immediate personal action
challenge-2853614	escalate	un-cancel an order — account-side action with order history
challenge-1955907	escalate	URL-only, no context — insufficient information
challenge-616914	escalate	card/buy-and-sell dispute — conflicting statements need human
challenge-197857	escalate	seller/surcharge complaint demanding platform action
challenge-1845984	escalate	card-activation payment verification — sensitive account data
challenge-1568158	escalate	MRP/pricing dispute across orders
challenge-834216	escalate	"AMZL US" only — insufficient information
challenge-2798309	escalate	delivered-photo claim contradicts receipt — investigation
challenge-689484	escalate	angry dispute re police-report instruction — human care needed
challenge-1242242	escalate	complaint that the wrong item was investigated — case review
challenge-1578555	escalate	partner grievance, German — complaint needs human follow-up
challenge-2284883	escalate	neighbour-parcel complaint about delivery agent conduct
challenge-2170818	escalate	"??" only — insufficient information
challenge-842315	auto_handle	routine delay status w/ tracking number provided
challenge-2171079	escalate	angry pre-order miss with demand for explanation
challenge-2785904	escalate	no one sure, contradictory CS message — escalate for a single owner
challenge-1379340	auto_handle	app-availability FAQ (Prime Video on Sony) — informational
challenge-227064	auto_handle	Kindle-app how-to question — informational
challenge-1645512	escalate	checkout failure on all browsers — account/technical debugging
challenge-2497106	auto_handle	app-language feature request — informational
challenge-487688	auto_handle	casual receipt notice, no escalation needed
challenge-1451501	auto_handle	excited first-purchase note — no escalation needed
challenge-787658	auto_handle	"thanks, resolved!" closure — no escalation needed
challenge-893308	auto_handle	casual life update — no escalation needed
challenge-2254596	auto_handle	"thanks, goodnight" closure — no escalation needed
challenge-426141	auto_handle	happy delivery note — no escalation needed
challenge-816342	auto_handle	URL-only hashtag — likely spam/casual, low risk
challenge-2586341	auto_handle	casual product review note — no escalation needed
challenge-365605	auto_handle	"just received, sorry for the trouble" closure
challenge-2472354	auto_handle	thanks for reply — closure
challenge-1033752	auto_handle	thank-you with delivery arrival — closure
challenge-1738390	auto_handle	casual celebration tweet — no escalation needed
challenge-2151072	auto_handle	thanks (Japanese) — closure
challenge-1130527	escalate	invoice number only; ambiguous request, account data present
challenge-2149534	escalate	P.O.-box eligibility dispute re processed order
challenge-2609965	escalate	packaging-discretion complaint — service follow-up
challenge-2909124	escalate	Christmas packaging complaint (kids saw gift) — human care
challenge-582649	escalate	"*occassion" only — insufficient information
challenge-835153	escalate	wrong item received — remedy required
challenge-2679197	escalate	third-party return dispute — needs policy review
challenge-694411	escalate	follow-up wants private email to send video — direct transfer
challenge-972720	auto_handle	promotional/casual tweet, no escalation needed
challenge-232399	escalate	rhetorical courier complaint — service grievance
challenge-102915	escalate	complaint with evidence URL — case review
challenge-2747122	escalate	CS-quality complaint — human care needed
challenge-2521823	escalate	escalating complaint about unread emails
challenge-1323314	escalate	complaint re poor reply — case review
representative-1912145	escalate	privacy/account-visibility setting — sensitive account action
